slug,winery,name,vintage,type,source,source_url,notes
caymus-vineyards-caymus-napa-valley-cabernet-sauvignon-2023,Caymus Vineyards,Caymus Napa Valley Cabernet Sauvignon,2023,red,,,
stag-s-leap-wine-cellars-stag-s-leap-wine-cellars-artemis-cabernet-sauvignon-2021,Stag's Leap Wine Cellars,Stag's Leap Wine Cellars Artemis Cabernet Sauvignon,2021,red,,,
duckhorn-vineyards-duckhorn-napa-valley-cabernet-sauvignon-2022,Duckhorn Vineyards,Duckhorn Napa Valley Cabernet Sauvignon,2022,red,,,
decoy-decoy-california-cabernet-sauvignon-2022,Decoy,Decoy California Cabernet Sauvignon,2022,red,,,
austin-hope-austin-hope-cabernet-sauvignon-2022,Austin Hope,Austin Hope Cabernet Sauvignon,2022,red,,,
daou-daou-reserve-cabernet-sauvignon-2022,DAOU,DAOU Reserve Cabernet Sauvignon,2022,red,,,
the-prisoner-wine-company-the-prisoner-red-blend-2022,The Prisoner Wine Company,The Prisoner Red Blend,2022,red,,,
orin-swift-cellars-orin-swift-abstract-red-blend-2022,Orin Swift Cellars,Orin Swift Abstract Red Blend,2022,red,,,
ridge-vineyards-ridge-three-valleys-red-2022,Ridge Vineyards,Ridge Three Valleys Red,2022,red,,,
seghesio-family-vineyards-seghesio-sonoma-zinfandel-2022,Seghesio Family Vineyards,Seghesio Sonoma Zinfandel,2022,red,,,
rombauer-vineyards-rombauer-chardonnay-2023,Rombauer Vineyards,Rombauer Chardonnay,2023,white,,,
cakebread-cellars-cakebread-chardonnay-2023,Cakebread Cellars,Cakebread Chardonnay,2023,white,,,
sonoma-cutrer-sonoma-cutrer-russian-river-ranches-chardonnay-2023,Sonoma-Cutrer,Sonoma-Cutrer Russian River Ranches Chardonnay,2023,white,,,
far-niente-far-niente-chardonnay-2023,Far Niente,Far Niente Chardonnay,2023,white,,,
duckhorn-vineyards-duckhorn-sauvignon-blanc-2023,Duckhorn Vineyards,Duckhorn Sauvignon Blanc,2023,white,,,
honig-vineyard-winery-honig-sauvignon-blanc-2023,Honig Vineyard & Winery,Honig Sauvignon Blanc,2023,white,,,
meiomi-meiomi-pinot-noir-2023,Meiomi,Meiomi Pinot Noir,2023,red,,,
belle-glos-belle-glos-clark-telephone-vineyard-pinot-noir-2022,Belle Glos,Belle Glos Clark & Telephone Vineyard Pinot Noir,2022,red,,,
la-crema-la-crema-sonoma-coast-pinot-noir-2023,La Crema,La Crema Sonoma Coast Pinot Noir,2023,red,,,
flowers-flowers-sonoma-coast-pinot-noir-2022,Flowers,Flowers Sonoma Coast Pinot Noir,2022,red,,,
jordan-vineyard-winery-jordan-cabernet-sauvignon-2020,Jordan Vineyard & Winery,Jordan Cabernet Sauvignon,2020,red,,,
silver-oak-silver-oak-alexander-valley-cabernet-sauvignon-2020,Silver Oak,Silver Oak Alexander Valley Cabernet Sauvignon,2020,red,,,
justin-vineyards-winery-justin-isosceles-2021,JUSTIN Vineyards & Winery,JUSTIN Isosceles,2021,red,,,
tablas-creek-vineyard-tablas-creek-esprit-de-tablas-rouge-2021,Tablas Creek Vineyard,Tablas Creek Esprit de Tablas Rouge,2021,red,,,
chateau-ste-michelle-dr-loosen-eroica-riesling-2022,Chateau Ste. Michelle & Dr. Loosen,Eroica Riesling,2022,white,,,
domaine-serene-evenstad-reserve-pinot-noir-2021,Domaine Serene,Evenstad Reserve Pinot Noir,2021,red,,,
argyle-argyle-pinot-noir-2022,Argyle,Argyle Pinot Noir,2022,red,,,
a-to-z-wineworks-a-to-z-wineworks-pinot-noir-2022,A to Z Wineworks,A to Z Wineworks Pinot Noir,2022,red,,,
king-estate-king-estate-willamette-valley-pinot-gris-2023,King Estate,King Estate Willamette Valley Pinot Gris,2023,white,,,
willamette-valley-vineyards-willamette-valley-vineyards-whole-cluster-pinot-noir-2022,Willamette Valley Vineyards,Willamette Valley Vineyards Whole Cluster Pinot Noir,2022,red,,,
elk-cove-vineyards-elk-cove-willamette-valley-pinot-noir-2022,Elk Cove Vineyards,Elk Cove Willamette Valley Pinot Noir,2022,red,,,
cristom-vineyards-cristom-mt-jefferson-cuvee-pinot-noir-2022,Cristom Vineyards,Cristom Mt. Jefferson Cuvée Pinot Noir,2022,red,,,
chateau-ste-michelle-columbia-valley-riesling-2023,Chateau Ste. Michelle,Columbia Valley Riesling,2023,white,,,
charles-smith-wines-kung-fu-girl-riesling-2023,Charles Smith Wines,Kung Fu Girl Riesling,2023,white,,,
