name,winery,vintage,grape,grape_pct,type,country,region,subregion,abv,price,currency,sweetness,acidity,tannin,body,fruitiness,description,image_url,source_site,source_url,source_product_id
Caymus Napa Valley Cabernet Sauvignon,Caymus Vineyards,2023,Cabernet Sauvignon,,red,United States,California,Napa Valley,14.2,79.99,USD,2,3,4,4,5,"Dense ripe black fruit with a plush full body, substantial structure, and a soft-fruited finish.",/wines/caymus-vineyards-caymus-napa-valley-cabernet-sauvignon-2023.webp,Wine.com,https://www.wine.com/product/caymus-napa-valley-cabernet-sauvignon-2023/3591840,3591840
Stag's Leap Wine Cellars Artemis Cabernet Sauvignon,Stag's Leap Wine Cellars,2021,Cabernet Sauvignon;Merlot;Petit Verdot,;;,red,United States,California,Napa Valley,14.8,69.99,USD,1,3,4,4,4,"Boysenberry, plum and currant lead into chocolate and baking spice with firm Napa Cabernet structure.",/wines/stag-s-leap-wine-cellars-stag-s-leap-wine-cellars-artemis-cabernet-sauvignon-2021.webp,Wine.com,https://www.wine.com/product/stags-leap-wine-cellars-artemis-cabernet-sauvignon-2021/1670633,1670633
Duckhorn Napa Valley Cabernet Sauvignon,Duckhorn Vineyards,2022,Cabernet Sauvignon;Merlot;Cabernet Franc;Petit Verdot,;;;,red,United States,California,Napa Valley,14.5,59.99,USD,1,3,3,4,3,"Layered dark fruit, polished oak and balanced acidity with a structured but approachable tannin profile.",/wines/duckhorn-vineyards-duckhorn-napa-valley-cabernet-sauvignon-2022.webp,Wine.com,https://www.wine.com/product/duckhorn-napa-valley-cabernet-sauvignon-2022/3432832,3432832
Decoy California Cabernet Sauvignon,Decoy,2022,Cabernet Sauvignon,,red,United States,California,California,13.9,19.97,USD,1,3,2,4,4,"Raspberry, plum and blueberry fruit with silky tannins, balanced acidity and baking-spice oak.",/wines/decoy-decoy-california-cabernet-sauvignon-2022.webp,Wine.com,https://www.wine.com/product/decoy-california-cabernet-sauvignon-2022/1287015,1287015
Austin Hope Cabernet Sauvignon,Austin Hope,2022,Cabernet Sauvignon,,red,United States,California,Paso Robles,15,63.99,USD,2,3,4,4,4,"Ripe blackcurrant and blackberry character with generous oak, broad texture and full-bodied richness.",/wines/austin-hope-austin-hope-cabernet-sauvignon-2022.webp,Wine.com,https://www.wine.com/product/austin-hope-cabernet-sauvignon-2022/3010249,3010249
DAOU Reserve Cabernet Sauvignon,DAOU,2022,Cabernet Sauvignon;Petit Verdot,77.0;23.0,red,United States,California,Paso Robles,15.2,59.99,USD,1,3,2,5,5,"Blackberry, raspberry and plum with integrated acidity, seamless tannins and concentrated full body.",/wines/daou-daou-reserve-cabernet-sauvignon-2022.webp,Wine.com,https://www.wine.com/product/daou-reserve-cabernet-sauvignon-2022/2030483,2030483
The Prisoner Red Blend,The Prisoner Wine Company,2022,Zinfandel;Cabernet Sauvignon;Petite Sirah;Syrah;Charbono,;;;;,red,United States,California,California,15.2,39.99,USD,2,3,3,4,4,"Ripe raspberry, blackberry and pomegranate with vanilla, a lush texture and fruit-forward finish.",/wines/the-prisoner-wine-company-the-prisoner-red-blend-2022.webp,Wine.com,https://www.wine.com/product/the-prisoner-wine-company-the-prisoner-red-blend-2022/1657240,1657240
Orin Swift Abstract Red Blend,Orin Swift Cellars,2022,Grenache;Petite Sirah;Syrah;Zinfandel,;;;,red,United States,California,California,15.3,35.97,USD,2,3,4,5,4,"Concentrated dark fruit and spice with a broad, powerful palate and ripe California richness.",/wines/orin-swift-cellars-orin-swift-abstract-red-blend-2022.webp,Wine.com,https://www.wine.com/product/orin-swift-cellars-abstract-2022/1599210,1599210
Ridge Three Valleys Red,Ridge Vineyards,2022,Zinfandel;Carignane;Petite Sirah;Mataro,65.0;16.0;14.0;5.0,red,United States,California,Sonoma County,14.2,35.97,USD,1,4,3,4,3,"Mixed berry fruit, savory spice and fresh structure with enough tannin and acidity for balance.",/wines/ridge-vineyards-ridge-three-valleys-red-2022.webp,Wine.com,https://www.wine.com/product/ridge-three-valleys-red-2022/1875508,1875508
Seghesio Sonoma Zinfandel,Seghesio Family Vineyards,2022,Zinfandel;Petite Sirah;Alicante Bouschet;Mixed Red Varieties,88.0;5.0;1.0;6.0,red,United States,California,Sonoma County,15,29.99,USD,2,4,2,4,4,"Berry and plum fruit with baking spice, supple tannins and a generous but lively palate.",/wines/seghesio-family-vineyards-seghesio-sonoma-zinfandel-2022.webp,Wine.com,https://www.wine.com/product/seghesio-sonoma-zinfandel-2022/1686801,1686801
